gauge,drought,record_length,station_name,state,lat,lon,catchment_area_sq_km,prop_forested,climate_type,major_climate_type
003303A,TRUE,51,Barcoo River at Blackall (003303A),QLD,-24.43,145.46,5713.9,0.41054,BSh,Dry (B)
102101A,FALSE,36,Pascoe River at Fall Creek (102101A),QLD,-12.880278,142.983056,648.4,0.99762,Aw,Tropical (A)
105101A,TRUE,53,Normanby River at Battle Camp (105101A),QLD,-15.281389,144.838611,2308.6,0.95679,Aw,Tropical (A)
105105A,FALSE,51,East Normanby River at Development Road (105105A),QLD,-15.771111,145.014167,296.1,0.98134,Am,Tropical (A)
107001B,TRUE,36,Endeavour River at Flaggy (107001B),QLD,-15.423333,145.067222,340.2,0.99771,As,Tropical (A)
108002A,FALSE,46,Daintree River at Bairds (108002A),QLD,-16.179444,145.281944,910.2,0.99981,Am,Tropical (A)
108003A,FALSE,38,Bloomfield River at China Camp (108003A),QLD,-15.988333,145.2875,262.5,1,Am,Tropical (A)
111005A,FALSE,52,Mulgrave River at The Fisheries (111005A),QLD,-17.1832,145.7248,356.5,0.89113,Cfa,Temperate (C)
111007A,FALSE,49,Mulgrave River at Peets Br (111007A),QLD,-17.13,145.76,521.4,0.91366,Cfa,Temperate (C)
112002A,FALSE,60,Fisher Creek at Nerada (112002A),QLD,-17.564167,145.9075,16,0.085,Cfa,Temperate (C)
112101B,FALSE,46,South Johnstone River at Upstream Central Mill (112101B),QLD,-17.6089,145.9791,397.3,0.86802,Cfa,Temperate (C)
112102A,FALSE,50,Liverpool Creek at Upper Japoonvale (112102A),QLD,-17.715,145.905278,77.9,0.9607,Cfa,Temperate (C)
113004A,FALSE,51,Cochable Creek at Powerline (113004A),QLD,-17.739722,145.63,93.4,0.9736,Cfa,Temperate (C)
114001A,FALSE,50,Murray River at Upper Murray (114001A),QLD,-18.1069,145.8054,155.4,0.98502,Cfa,Temperate (C)
116006B,FALSE,52,Herbert River at Abergowrie (116006B),QLD,-18.492778,145.922222,7457.1,0.92449,Cfa,Temperate (C)
116010A,FALSE,59,Blencoe Creek at Blencoe Falls (116010A),QLD,-18.204444,145.537778,226.8,0.9941,Cfa,Temperate (C)
116011A,FALSE,59,Millstream River at Ravenshoe (116011A),QLD,-17.605,145.4775,90.6,0.59959,Cwa,Temperate (C)
116012A,FALSE,53,Cameron Creek at 8.7KM (116012A),QLD,-18.065278,145.341944,350.9,0.96343,Cwa,Temperate (C)
116013A,FALSE,60,Millstream river at Archer Creek (116013A),QLD,-17.651944,145.341111,319.4,0.81823,Cwa,Temperate (C)
116014A,FALSE,60,Wild River at Silver Valley (116014A),QLD,-17.625,145.298889,585.4,0.92705,Cwa,Temperate (C)
116015A,FALSE,55,Blunder Creek at Wooroora (116015A),QLD,-17.735278,145.438056,125.9,0.99998,Cwa,Temperate (C)
117002A,FALSE,48,BlaCreek at Bruce HWY (117002A),QLD,-19.2377,146.6329,250.6,0.76011,Aw,Tropical (A)
117003A,FALSE,46,Bluewater Creek at Bluewater (117003A),QLD,-19.185,146.5461,87.6,0.95732,Aw,Tropical (A)
118106A,TRUE,45,Alligator Creek at Allendale (118106A),QLD,-19.39,146.96,69.7,0.8667,Aw,Tropical (A)
119003A,TRUE,52,Haughton River at Powerline (119003A),QLD,-19.63,147.11,1758.8,0.75876999999999994,Aw,Tropical (A)
120102A,TRUE,51,Keelbottom Creek at Keelbottom (120102A),QLD,-19.3719,146.3589,193.4,0.96003,Cwa,Temperate (C)
120301B,TRUE,45,Belyando River at Gregory Development Road (120301B),QLD,-21.53,146.86,35299.9,0.45973,BSh,Dry (B)
120304A,TRUE,50,Suttor River at Eaglefield (120304A),QLD,-21.45,147.71,1953.6,0.50629,BSh,Dry (B)
121001A,TRUE,52,Don River at Ida Creek (121001A),QLD,-20.289444,148.116111,603.6,0.89451,Cwa,Temperate (C)
121002A,TRUE,47,Elliot River at Guthalungra (121002A),QLD,-19.94,147.84,269.5,0.83564,Aw,Tropical (A)
121003A,TRUE,37,Don River at Reeves (121003A),QLD,-20.15,148.15,1012.5,0.78291,Cwa,Temperate (C)
122004A,TRUE,49,Gregory river at Lower Gregory (122004A),QLD,-20.3,148.547222,46.6,0.91518,Aw,Tropical (A)
124002A,TRUE,45,StHelens Creek at Calen (124002A),QLD,-20.9075,148.7586,118.1,0.88178,Cwa,Temperate (C)
125005A,TRUE,48,BlaCreeks Creek at Whitefords (125005A),QLD,-21.3228,148.8351,510.2,0.98071,Cwa,Temperate (C)
126003A,FALSE,46,Carmila Creek at Carmila (126003A),QLD,-21.915556,149.398611,83.7,0.80426,Cwa,Temperate (C)
129001A,TRUE,60,Waterpark Creek at Byfield (129001A),QLD,-22.835,150.6653,248.7,0.99849,Cfa,Temperate (C)
130004A,FALSE,58,Raglan Creek at Old Stn (130004A),QLD,-23.8191,150.8206,392.9,0.66494,Cfa,Temperate (C)
130302A,TRUE,63,Dawson River at Taroom (130302A),QLD,-25.64,149.79,15806.9,0.45296,BSh,Dry (B)
130324A,FALSE,55,Dawson River at Utopia Downs (130324A),QLD,-25.7447,149.3299,6056.7,0.69529,BSh,Dry (B)
130403A,TRUE,56,Connors River at Mt Bridget (130403A),QLD,-22.0383,149.1286,1286.4,0.87649,Cfa,Temperate (C)
130410A,FALSE,51,Isaac River at Deverill (130410A),QLD,-22.1742,148.3811,4067.2,0.36879,BSh,Dry (B)
130413A,FALSE,50,Denison Creek at Braeside (130413A),QLD,-21.7696,148.7869,764.8,0.90943,Cwa,Temperate (C)
132001A,TRUE,63,Calliope River at Castlehope (132001A),QLD,-23.99,151.1,1287.7,0.64909,Cfa,Temperate (C)
135002A,FALSE,56,Kolan River at Springfield (135002A),QLD,-24.7533,151.5872,547.9,0.95817,Cfa,Temperate (C)
135004A,TRUE,56,Gin Gin Creek at Dam Site (135004A),QLD,-24.97,151.89,536.3,0.87111,Cfa,Temperate (C)
136006A,FALSE,56,Reid Creek at Dam Site (136006A),QLD,-25.2731,151.5173,220.7,0.68791,Cfa,Temperate (C)
136202D,FALSE,57,Barambah Creek at Litzows (136202D),QLD,-26.301111,152.044444,649.6,0.63727,Cfa,Temperate (C)
136203A,TRUE,62,Barker Creek at Brooklands (136203A),QLD,-26.733889,151.820556,310.7,0.76741,Cfa,Temperate (C)
136208A,TRUE,53,Boonara Creek at Ettiewyn (136208A),QLD,-25.902778,151.844167,1391.9,0.65135,Cfa,Temperate (C)
136304A,TRUE,56,Stuart River at Proston Rifle Range (136304A),QLD,-26.1816,151.5461,1554.4,0.6853,Cfa,Temperate (C)
137101A,TRUE,48,Gregory River at Burrum Highway (137101A),QLD,-25.086667,152.240833,453.4,0.95556,Cfa,Temperate (C)
137201A,TRUE,55,Isis River at Bruce Highway (137201A),QLD,-25.266944,152.368611,444.5,0.91331,Cfa,Temperate (C)
138004B,FALSE,36,Munna Creek at Marodian (138004B),QLD,-25.903611,152.349167,1189,0.71588,Cfa,Temperate (C)
138009A,FALSE,47,Tinana Creek at Tagigan Road (138009A),QLD,-26.078611,152.783889,101.4,0.70299,Cfa,Temperate (C)
138110A,TRUE,62,Mary River at Bellbird Ck (138110A),QLD,-26.63,152.7,485.4,0.84956,Cfa,Temperate (C)
