gauge,year,realspace_a3_off_streamflow,realspace_a3_on_streamflow
108003A,1971,1967.6984252178981,1967.698425217898
108003A,1972,2324.44802738444,2324.44802738444
108003A,1973,3568.980376501072,3568.980376501072
108003A,1975,2628.4804580900463,2628.4804580900463
108003A,1977,2894.4825275648072,2894.4825275648072
108003A,1978,1668.9799676414295,1668.9799676414295
108003A,1979,2609.6403573095745,2609.6403573095745
108003A,1980,1502.777335431007,1502.777335431007
108003A,1981,2159.06665326801,2159.06665326801
108003A,1982,1538.6566732210458,1538.6566732210458
108003A,1983,1657.538632912184,1657.538632912184
108003A,1984,1775.486005036215,1775.486005036215
108003A,1985,2263.1142989689547,2263.1142989689547
108003A,1986,1955.8445903472352,1955.8445903472352
108003A,1987,1945.487714074793,1945.487714074793
108003A,1988,1709.6866581052086,1709.6866581052086
108003A,1989,2274.4463857249602,2274.44638572496
108003A,1990,1992.1321426551478,1992.132142655148
108003A,1991,1336.7623831867895,1336.7623831867895
108003A,1992,1344.429277193957,1344.429277193957
108003A,1993,1620.103938571502,1620.103938571502
108003A,1994,1377.9979596366538,1377.9979596366538
108003A,1995,1804.3481935885786,1804.3481935885784
108003A,1996,2593.177606059815,2593.177606059815
108003A,1997,1776.8851158187085,1776.8851158187083
108003A,1998,1877.145330256226,1877.145330256226
108003A,1999,3065.3299740244306,3065.3299740244306
108003A,2002,606.4504351194026,606.4504351194026
108003A,2003,1052.4812285658868,1052.4812285658868
108003A,2005,1236.2592263681374,1236.2592263681374
108003A,2007,1937.0053962473955,1937.0053962473955
108003A,2008,1838.5995709752867,1838.5995709752867
108003A,2009,1537.268263800461,1537.268263800461
108003A,2010,3372.0467978690485,3372.0467978690485
108003A,2011,2614.514090660685,2614.514090660685
108003A,2012,1842.9605601083535,1842.9605601083535
108003A,2013,1642.9110682966025,1620.4400042098036
108003A,2014,2935.49574649087,2286.2693255307277
116012A,1962,337.2492207828137,337.2492207828137
116012A,1963,632.3649361979199,632.3649361979199
116012A,1964,582.249902326959,582.249902326959
116012A,1965,174.14497256008565,174.14497256008565
116012A,1966,51.882254022277834,51.882254022277834
116012A,1967,761.7213075230812,761.7213075230812
116012A,1968,412.31776196774956,412.3177619677496
116012A,1969,303.0361355972106,303.0361355972106
116012A,1970,336.8722001351473,336.8722001351473
116012A,1971,649.9134528076997,649.9134528076997
116012A,1972,691.3918392662699,691.3918392662699
116012A,1973,791.5113704682011,791.5113704682011
116012A,1974,1090.3416174752742,1090.3416174752742
116012A,1975,581.1597859930091,581.1597859930091
116012A,1976,441.1975915820026,441.1975915820026
116012A,1977,1046.494206964379,1046.494206964379
116012A,1978,240.894149930389,240.894149930389
116012A,1979,833.9625155133218,833.9625155133218
116012A,1980,246.39146629404394,246.3914662940439
116012A,1981,935.5725232071549,935.5725232071547
116012A,1982,164.13861771802382,164.13861771802382
116012A,1983,6.523084787808623,6.523084787808623
