replicate,gauge,contains_CO2,streamflow_model,parameter,parameter_value,AIC
25,003303A,FALSE,streamflow_model_precip_only,a0,-48.09640858253567,432.15768617944167
25,003303A,FALSE,streamflow_model_precip_only,a1,0.1157635668715853,432.15768617944167
25,003303A,FALSE,streamflow_model_precip_only,b,0.28849320848268206,432.15768617944167
25,003303A,FALSE,streamflow_model_precip_only,sd,15.478781506917525,432.15768617944167
101,003303A,TRUE,streamflow_model_intercept_shifted_CO2,a0,-55.32135720953744,434.3970736227515
101,003303A,TRUE,streamflow_model_intercept_shifted_CO2,a1,0.11455112721242051,434.3970736227515
101,003303A,TRUE,streamflow_model_intercept_shifted_CO2,a3_intercept,0.1088738862966352,434.3970736227515
101,003303A,TRUE,streamflow_model_intercept_shifted_CO2,a5,7.207618718509356,434.3970736227515
101,003303A,TRUE,streamflow_model_intercept_shifted_CO2,b,0.3420176582543595,434.3970736227515
101,003303A,TRUE,streamflow_model_intercept_shifted_CO2,sd,15.213869177539538,434.3970736227515
253,102101A,FALSE,streamflow_model_precip_only,a0,-811.4411169217528,512.5550838902141
253,102101A,FALSE,streamflow_model_precip_only,a1,1.0725341748854182,512.5550838902141
253,102101A,FALSE,streamflow_model_precip_only,b,0.10835470000619142,512.5550838902141
253,102101A,FALSE,streamflow_model_precip_only,sd,267.4068445580893,512.5550838902141
285,102101A,TRUE,streamflow_model_slope_shifted_CO2,a0,-853.504946846625,513.1552030098035
285,102101A,TRUE,streamflow_model_slope_shifted_CO2,a1,1.0921260212671606,513.1552030098035
285,102101A,TRUE,streamflow_model_slope_shifted_CO2,a3_slope,0.23752613770396055,513.1552030098035
285,102101A,TRUE,streamflow_model_slope_shifted_CO2,a5,117.2911177387587,513.1552030098035
285,102101A,TRUE,streamflow_model_slope_shifted_CO2,b,0.19086940235778715,513.1552030098035
285,102101A,TRUE,streamflow_model_slope_shifted_CO2,sd,255.0731592108444,513.1552030098035
364,105101A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a0,-304.61733085692595,681.7802247598594
364,105101A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a1,0.40022664696710897,681.7802247598594
364,105101A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a2,0.2565491254030079,681.7802247598594
364,105101A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a4,354.7164791307987,681.7802247598594
364,105101A,FALSE,streamflow_model_precip_seasonal_ratio_auto,b,0.10964698011306552,681.7802247598594
364,105101A,FALSE,streamflow_model_precip_seasonal_ratio_auto,sd,134.25524973448577,681.7802247598594
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a0,-309.14184637810945,685.3779570938831
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a1,0.40159917662587313,685.3779570938831
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a2,0.25566573051609787,685.3779570938831
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a3_intercept,111.99305324107443,685.3779570938831
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a4,364.96029786958024,685.3779570938831
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a5,135.6402618799493,685.3779570938831
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,b,0.09710649092996412,685.3779570938831
560,105101A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,sd,133.74671698705822,685.3779570938831
662,105105A,FALSE,streamflow_model_precip_auto,a0,-561.185542781951,686.5397773029297
662,105105A,FALSE,streamflow_model_precip_auto,a1,0.5356736017081237,686.5397773029297
662,105105A,FALSE,streamflow_model_precip_auto,a2,0.2872851317660754,686.5397773029297
662,105105A,FALSE,streamflow_model_precip_auto,b,0.01913313067999526,686.5397773029297
662,105105A,FALSE,streamflow_model_precip_auto,sd,183.7919428118226,686.5397773029297
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a0,-541.8458053787558,689.4034549302778
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a1,0.5228481638441588,689.4034549302778
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a2,0.25155473043780763,689.4034549302778
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a3_intercept,6.832033588529612,689.4034549302778
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a4,336.4475348673868,689.4034549302778
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a5,120.26835876218688,689.4034549302778
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,b,0.0223203981449401,689.4034549302778
716,105105A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,sd,178.22665525412236,689.4034549302778
770,107001B,FALSE,streamflow_model_precip_auto,a0,-547.9683315732027,459.2581242926079
770,107001B,FALSE,streamflow_model_precip_auto,a1,0.5816187683919304,459.2581242926079
770,107001B,FALSE,streamflow_model_precip_auto,a2,0.2269422581599576,459.2581242926079
770,107001B,FALSE,streamflow_model_precip_auto,b,0.01658563181974259,459.2581242926079
770,107001B,FALSE,streamflow_model_precip_auto,sd,124.05904942668327,459.2581242926079
754,107001B,TRUE,streamflow_model_slope_shifted_CO2_auto,a0,-549.9398711878862,463.0744756854695
754,107001B,TRUE,streamflow_model_slope_shifted_CO2_auto,a1,0.5810969237736116,463.0744756854695
754,107001B,TRUE,streamflow_model_slope_shifted_CO2_auto,a2,0.23375031895043707,463.0744756854695
754,107001B,TRUE,streamflow_model_slope_shifted_CO2_auto,a3_slope,0.1336490835746762,463.0744756854695
754,107001B,TRUE,streamflow_model_slope_shifted_CO2_auto,a5,118.58322943632724,463.0744756854695
754,107001B,TRUE,streamflow_model_slope_shifted_CO2_auto,b,0.01618755606591823,463.0744756854695
754,107001B,TRUE,streamflow_model_slope_shifted_CO2_auto,sd,123.74301655780728,463.0744756854695
1022,108002A,FALSE,streamflow_model_precip_auto,a0,-1012.377173145188,658.6624696703402
1022,108002A,FALSE,streamflow_model_precip_auto,a1,0.9407343663791916,658.6624696703402
1022,108002A,FALSE,streamflow_model_precip_auto,a2,0.1837766776420968,658.6624696703402
1022,108002A,FALSE,streamflow_model_precip_auto,b,0.105293671632873,658.6624696703402
1022,108002A,FALSE,streamflow_model_precip_auto,sd,279.14753867903295,658.6624696703402
1002,108002A,TRUE,streamflow_model_intercept_shifted_CO2_auto,a0,-1008.562421613864,662.4024783678668
1002,108002A,TRUE,streamflow_model_intercept_shifted_CO2_auto,a1,0.937222495346682,662.4024783678668
1002,108002A,TRUE,streamflow_model_intercept_shifted_CO2_auto,a2,0.17626858216594687,662.4024783678668
1002,108002A,TRUE,streamflow_model_intercept_shifted_CO2_auto,a3_intercept,-56.935000668459,662.4024783678668
1002,108002A,TRUE,streamflow_model_intercept_shifted_CO2_auto,a5,133.90968824954348,662.4024783678668
1002,108002A,TRUE,streamflow_model_intercept_shifted_CO2_auto,b,0.05064573696746082,662.4024783678668
1002,108002A,TRUE,streamflow_model_intercept_shifted_CO2_auto,sd,278.3595695096152,662.4024783678668
1155,108003A,FALSE,streamflow_model_precip_seasonal_ratio,a0,-585.4656346763459,518.3284383605248
1155,108003A,FALSE,streamflow_model_precip_seasonal_ratio,a1,1.0840785961309325,518.3284383605248
1155,108003A,FALSE,streamflow_model_precip_seasonal_ratio,a4,-565.6563949677184,518.3284383605248
1155,108003A,FALSE,streamflow_model_precip_seasonal_ratio,b,0.10796498061256998,518.3284383605248
1155,108003A,FALSE,streamflow_model_precip_seasonal_ratio,sd,194.33695699061164,518.3284383605248
1111,108003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a0,-716.3828472318091,510.99396778174224
1111,108003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a1,1.1358607706505943,510.99396778174224
1111,108003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a3_intercept,-302.78036563929527,510.99396778174224
1111,108003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a4,-848.5833236274029,510.99396778174224
1111,108003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a5,116.66578427587484,510.99396778174224
