gauge,CO2_model,non_CO2_model,evidence_ratio,lat,lon,state,status,parent_catchment,river_di,binned_evidence_ratio,impact_of_CO2_term
314213,550.794228843644,546.7942558945351,-7.388956159330352,-40.872222,145.297778,TAS,no_nested,NA,0.120588,Weak,No CO2 Term
204051,436.4180600854448,432.4181220629247,-7.388827124940543,-28.7211,152.4174,NSW,sub_catchment,204007,0.114121,Weak,No CO2 Term
919309A,512.2702953398363,508.27036877516525,-7.388784795028691,-16.545278,143.784722,QLD,no_nested,NA,0.132702,Weak,No CO2 Term
222217,486.167099787843,482.1672050314792,-7.388667283594651,-37.41,148.36,VIC,no_nested,NA,0.064107,Weak,No CO2 Term
204007,551.4809695675328,547.4810843741171,-7.3886319549584645,-29.51,152.68,NSW,main_catchment,204007,0.106548,Weak,No CO2 Term
G8140008,431.0716987418221,427.071949808028,-7.388128586008614,-14.0712,131.9762,NT,sub_catchment,G8140040,0.016213,Weak,No CO2 Term
221207,625.3276307561898,621.327924348317,-7.387971494191593,-37.447222,148.914167,VIC,sub_catchment,221212,0.072498,Weak,No CO2 Term
136304A,562.5762516711925,558.5765525529778,-7.387944566347438,-26.1816,151.5461,QLD,no_nested,NA,0.486478,Weak,No CO2 Term
304040,705.1347130123108,701.1350396649356,-7.387849370194145,-42.4417,146.515,TAS,no_nested,NA,0.078661,Weak,No CO2 Term
130324A,501.71635557827744,497.7168616537295,-7.387186625511527,-25.7447,149.3299,QLD,sub_catchment,130302A,0.387256,Weak,No CO2 Term
318076,664.1983158076108,660.1994225975222,-7.384968163783669,-41.494444,147.384167,TAS,no_nested,NA,0.115667,Weak,No CO2 Term
G8140001,559.8089706930779,555.810147013179,-7.3847114291279095,-14.463333,132.256944,NT,sub_catchment,G8140040,0.248796,Weak,No CO2 Term
605012,494.90664218452,490.9079437935836,-7.384248832200893,-34.9062,116.7885,WA,no_nested,NA,0.090256,Weak,No CO2 Term
145018A,587.8817603456353,583.884339120938,-7.379534880831147,-28.219722,152.608333,QLD,no_nested,NA,0.042143,Weak,No CO2 Term
G8140040,479.4908529335988,475.4938436950629,-7.37801490426463,-13.8308,130.7358,NT,main_catchment,G8140040,0.107009,Weak,No CO2 Term
314214,594.7342649869156,590.7388708891338,-7.372059043198901,-40.8733,145.1183,TAS,no_nested,NA,0.320397,Weak,No CO2 Term
616002,299.76366144041555,295.77037988584556,-7.36427625764562,-32.068333,116.2925,WA,no_nested,NA,0.012149,Weak,No CO2 Term
237200,561.9838056541045,557.9918087735849,-7.35954742925471,-38.31991057,142.2264285,VIC,no_nested,NA,0.476065,Weak,No CO2 Term
616006,287.0143471940484,283.022769630499,-7.358004599429284,-31.3442,116.0916,WA,sub_catchment,616019,0.221634,Weak,No CO2 Term
112002A,877.876461631574,873.8856353474031,-7.3552411599293075,-17.564167,145.9075,QLD,no_nested,NA,0.217037,Weak,No CO2 Term
120301B,365.9305562776113,361.9399461797888,-7.354446151533446,-21.53,146.86,QLD,no_nested,NA,0.109075,Weak,No CO2 Term
138009A,566.5666105666776,562.5779000310331,-7.347464353773303,-26.078611,152.783889,QLD,sub_catchment,138903A,0.185968,Weak,No CO2 Term
116011A,803.3741622844307,799.3866238812192,-7.343159514722209,-17.605,145.4775,QLD,sub_catchment,116006B,0.223361,Weak,No CO2 Term
410141,368.37083411916115,364.38439391343,-7.339128501897049,-35.7053,149.1488,NSW,sub_catchment,410761,0.078082,Weak,No CO2 Term
405214,676.2354295449361,672.2504413091724,-7.333802338402393,-37.159,146.11,VIC,no_nested,NA,0.627669,Weak,No CO2 Term
116013A,795.9378940545984,791.957724051352,-7.316155620982957,-17.651944,145.341111,QLD,sub_catchment,116006B,0.154051,Weak,No CO2 Term
614006,356.7431197756863,352.7639075072624,-7.3126529911951295,-32.7722,116.0843,WA,main_catchment,614006,0.120014,Weak,No CO2 Term
403214,604.2544714811672,600.278692116433,-7.3001119406113455,-36.577778,146.820278,VIC,sub_catchment,403209A,0.100645,Weak,No CO2 Term
224201,676.3163162635576,672.3410537451666,-7.2982256662696035,-37.49,147.17,VIC,sub_catchment,224203,0.064531,Weak,No CO2 Term
G8140067,456.81709745016946,452.8443089168416,-7.289203397016982,-14.3633,131.5737,NT,sub_catchment,G8140040,0.128114,Weak,No CO2 Term
121002A,584.7675193461814,580.7951845597266,-7.287549857971858,-19.94,147.84,QLD,no_nested,NA,0.094815,Weak,No CO2 Term
215207,396.96571123912696,392.9976335258928,-7.272054538327595,-34.818901,150.182923,NSW,main_catchment,215207,0.111963,Weak,No CO2 Term
403205,650.9247559279062,646.9578510840929,-7.267791203336085,-36.72564366,146.9525954,VIC,sub_catchment,403209A,0.053135,Weak,No CO2 Term
145010A,688.6408880018766,684.6751829274093,-7.263432674225002,-28.246389,152.891111,QLD,no_nested,NA,0.232396,Weak,No CO2 Term
G8170002,518.5460129488474,514.5804804166291,-7.262806076749269,-13.240556,131.108333,NT,no_nested,NA,0.043145,Weak,No CO2 Term
234203,418.43897903405366,414.4736929327956,-7.261911241741531,-38.354,143.42,VIC,no_nested,NA,0.4825,Weak,No CO2 Term
227236,412.0083355396381,408.0438854278762,-7.258876435292148,-38.559,145.71,VIC,no_nested,NA,0.198385,Weak,No CO2 Term
224206,622.5080549623275,618.5469254789144,-7.246834419387444,-37.406389,147.088056,VIC,sub_catchment,224203,0.038675,Weak,No CO2 Term
315450,744.1729825343939,740.2146982085244,-7.236532555923302,-41.611667,146.130556,TAS,no_nested,NA,0.008511,Weak,No CO2 Term
215004,401.2686054908933,397.3118787310394,-7.230899061253025,-35.146944,150.033056,NSW,sub_catchment,215207,0.055289,Weak,No CO2 Term
405215,534.9683824595351,531.0129189833651,-7.226333165008186,-37.229444,146.207222,VIC,no_nested,NA,0.453968,Weak,No CO2 Term
616013,221.769692756597,217.81549066042783,-7.221777025848345,-31.939722,116.403611,WA,sub_catchment,616216,0.021687,Weak,No CO2 Term
236209,482.6096696091562,478.6565961153175,-7.217702918277485,-38.33543732,142.6251911,VIC,main_catchment,236209,0.590519,Weak,No CO2 Term
136203A,626.091082244185,622.1388788102388,-7.214563684244945,-26.733889,151.820556,QLD,no_nested,NA,0.143268,Weak,No CO2 Term
416008,309.34567396921244,305.4023086378747,-7.182752496589141,-29.219167,151.383056,NSW,no_nested,NA,0.175842,Weak,No CO2 Term
A5060500,367.27562249041347,363.3349949696441,-7.172926715557761,-34.13,138.63,SA,no_nested,NA,0.282316,Weak,No CO2 Term
204046,557.4970501574793,553.5579046684953,-7.16761343172127,-29.0573,152.3849,NSW,sub_catchment,204007,0.074567,Weak,No CO2 Term
227225,659.3584935257918,655.4217529273028,-7.15899994867319,-38.469722,146.555278,VIC,sub_catchment,227200,0.104902,Weak,No CO2 Term
116015A,748.5605411541011,744.6307801213507,-7.134060135867839,-17.735278,145.438056,QLD,sub_catchment,116006B,0.03147,Weak,No CO2 Term
116006B,666.2997447941457,662.3728985544774,-7.123670554011326,-18.492778,145.922222,QLD,main_catchment,116006B,0.132119,Weak,No CO2 Term
403224,481.1367349785843,477.2135627930695,-7.110596190973945,-36.513,146.45,VIC,sub_catchment,403209A,0.140072,Weak,No CO2 Term
421048,344.0215016674794,340.09927293785063,-7.107242715085644,-32.7072,148.5511,NSW,no_nested,NA,0.129937,Weak,No CO2 Term
204014,423.6614194345446,419.7403907940287,-7.102979332020912,-29.6947,152.1049,NSW,sub_catchment,204007,0.156254,Weak,No CO2 Term
227202,606.0916171923216,602.170775892261,-7.102314025490139,-38.582,145.99,VIC,main_catchment,227202,0.187268,Weak,No CO2 Term
226218,682.3683526531738,678.4504435913879,-7.091908816479982,-38.27191618,146.1865277,VIC,no_nested,NA,0.195311,Weak,No CO2 Term
410033,520.4264454119965,516.5176823634997,-7.059551511813034,-36.17,149.09,NSW,sub_catchment,410761,0.297846,Weak,No CO2 Term
125005A,642.1992854399256,638.2929056343829,-7.051144208769403,-21.3228,148.8351,QLD,no_nested,NA,0.28418,Weak,No CO2 Term
421026,402.1097331695001,398.2053762031253,-7.044016148764915,-33.0819,149.689,NSW,no_nested,NA,0.152075,Weak,No CO2 Term
145101D,767.2055105319206,763.3022671658172,-7.0400951313303475,-28.053056,153.045278,QLD,sub_catchment,N/A,0.113484,Weak,No CO2 Term
410057,722.9842123454004,719.0830970933255,-7.0326080527703345,-35.33,148.348889,NSW,no_nested,NA,0.254553,Weak,No CO2 Term
138903A,501.4648989896563,497.5759572911796,-6.9899321483479575,-25.82,152.72,QLD,main_catchment,138903A,0.184226,Weak,No CO2 Term
130302A,594.8111649301962,590.9236595453752,-6.984914082943894,-25.64,149.79,QLD,main_catchment,130302A,0.411511,Weak,No CO2 Term
401212,728.6016001100159,724.7144614164256,-6.983633546966973,-36.446111,147.829444,VIC,no_nested,NA,0.025154,Weak,No CO2 Term
226220,593.2164285113454,589.3296060230787,-6.982529503192791,-37.866667,146.006111,VIC,sub_catchment,226204,0.135273,Weak,No CO2 Term
218007,556.0986746467316,552.2131860714073,-6.977874012632596,-36.2586,149.6914,NSW,sub_catchment,218008,0.006838,Weak,No CO2 Term
222206,676.2515025021702,672.379669886452,-6.930391519034187,-37.494722,148.174722,VIC,no_nested,NA,0.036454,Weak,No CO2 Term
403222,618.7176851773146,614.8509601811688,-6.91271519793853,-36.910833,146.700556,VIC,sub_catchment,403209A,0.018487,Weak,No CO2 Term
140002A,539.95066963633,536.0889639601385,-6.8953883845721995,-26.0572,153.0426,QLD,no_nested,NA,0.024429,Weak,No CO2 Term
226209,615.1015850942152,611.24309516729,-6.884310372916706,-38.206,146,VIC,sub_catchment,226402,0.221471,Weak,No CO2 Term
226222,392.14435751004856,388.28618259716984,-6.88322613107276,-37.881944,145.8925,VIC,sub_catchment,226204,0.139098,Weak,No CO2 Term
616019,324.8506857298939,320.9945122133813,-6.876341544460861,-31.6744,116.1178,WA,main_catchment,616019,0.388562,Weak,No CO2 Term
206014,645.2239543732978,641.370485573207,-6.867048552655587,-30.476389,152.028333,NSW,no_nested,NA,0.18532,Weak,No CO2 Term
236205,481.10510981566256,477.2552401910695,-6.854701809065628,-38.316,142.48,VIC,no_nested,NA,0.290915,Weak,No CO2 Term
236212,438.6386526202004,434.7954948970053,-6.831736324808484,-38.346,142.65,VIC,no_nested,NA,0.233585,Weak,No CO2 Term
209002,664.498777669845,660.6563085559361,-6.829384531161532,-32.2453,151.9778,NSW,sub_catchment,209003,0.057605,Weak,No CO2 Term
403230,589.1893105939428,585.3490139914702,-6.821970100875623,-36.5334707,146.6683095,VIC,sub_catchment,403209A,0.243154,Weak,No CO2 Term
137201A,647.3608276980178,643.5244063890484,-6.808764330860758,-25.266944,152.368611,QLD,no_nested,NA,0.143823,Weak,No CO2 Term
223204,624.2201081858702,620.3852116349108,-6.803575450083247,-37.59294631,147.697124,VIC,no_nested,NA,0.129622,Weak,No CO2 Term
919003A,575.5989172334496,571.7730716241268,-6.772855631173639,-16.471389,144.290556,QLD,main_catchment,919003A,0.100555,Weak,No CO2 Term
204002,567.0137502661026,563.1899437945737,-6.765953757294897,-28.89,152.56,NSW,sub_catchment,204007,0.123779,Weak,No CO2 Term
204030,435.97596390091985,432.15425979091674,-6.758845253677959,-30.2603,152.0083,NSW,sub_catchment,204007,0.390412,Weak,No CO2 Term
116014A,769.6377746820912,765.8177875624189,-6.753045307672992,-17.625,145.298889,QLD,sub_catchment,116006B,0.117174,Weak,No CO2 Term
405245,482.4398966481267,478.6201271834255,-6.7523104307205,-37.038611,146.053889,VIC,no_nested,NA,0.246765,Weak,No CO2 Term
412028,535.1700409498964,531.3509175391074,-6.750129604687019,-33.954722,149.325278,NSW,main_catchment,412028,0.144278,Weak,No CO2 Term
107001B,463.0744756854695,459.2581242926079,-6.740780345124486,-15.423333,145.067222,QLD,no_nested,NA,0.058167,Weak,No CO2 Term
604001,331.0824521547963,327.26628302187413,-6.7401660860047015,-34.6227,117.0353,WA,sub_catchment,604053,0.145005,Weak,No CO2 Term
G8140011,332.1514769528707,328.3425697391571,-6.715737192222563,-15.0841,132.4109,NT,sub_catchment,G8140040,0.020942,Weak,No CO2 Term
609005,379.6147077506074,375.8099771720597,-6.7017272338743155,-33.9075,117.1422,WA,no_nested,NA,0.266893,Weak,No CO2 Term
316624,613.3698711246367,609.5706724454703,-6.683216205592727,-41.6894,146.2154,TAS,no_nested,NA,0.064329,Weak,No CO2 Term
A5030502,486.2753192516092,482.47963775087544,-6.6714735019656235,-35.099167,138.673889,SA,no_nested,NA,0.208642,Weak,No CO2 Term
809316,482.8513782160773,479.0586782543962,-6.6615352822113225,-17.3738,128.8537,WA,main_catchment,809316,0.039173,Weak,No CO2 Term
915011A,328.84101451614714,325.05180154208557,-6.6499310555714946,-20.1775,144.524444,QLD,no_nested,NA,0.106953,Weak,No CO2 Term
401208,590.0700224293696,586.2867397560135,-6.630242214768567,-36.213333,147.677778,VIC,no_nested,NA,0.099481,Weak,No CO2 Term
209003,563.1976546819399,559.4165569283882,-6.623002896059592,-32.48,151.96,NSW,main_catchment,209003,0.095707,Weak,No CO2 Term
203005,574.8087647025849,571.0308166952445,-6.6125807158796706,-28.5065,152.9658,NSW,no_nested,NA,0.081592,Weak,No CO2 Term
402206,483.418561009117,479.645652888908,-6.59593836335361,-36.54,147.044444,VIC,no_nested,NA,0.06241,Weak,No CO2 Term
112101B,658.9508796195616,655.1807959566352,-6.586629964621516,-17.6089,145.9791,QLD,no_nested,NA,0.056195,Weak,No CO2 Term
424002,331.25973032483336,327.499735485849,-6.553487950842452,-29.2387,144.4553,NSW,main_catchment,424002,0.355058,Weak,No CO2 Term
404204,481.57673856550974,477.82112839452213,-6.53913625400455,-36.12376902,145.8319105,VIC,no_nested,NA,0.510794,Weak,No CO2 Term
