gauge,decade,IQR_CO2_impact_on_streamflow_percentage,mean_CO2_impact_on_streamflow_percentage,median_CO2_impact_on_streamflow_percentage
235205,1,7.6262863092801725,-2.5039326354205875,-2.667542907379091
235205,2,6.828549787389562,-31.66728070275906,-31.278869957647547
235219,1,6.7462124147536136,-3.6812475392250965,-3.910018314525733
235219,2,7.518539421262265,-20.999748575815268,-20.890828832199045
235234,1,24.298050411229745,-23.09352679035939,-24.92568139680863
235234,2,25.873178656760572,-51.68038918544359,-53.58013323085279
236213,1,24.187516459985183,-29.780326898280503,-31.390029980814415
236213,2,19.533838175037204,-81.98955240255044,-83.52725557851412
236216,1,39.46305769594864,-25.63554210889225,-29.849653459606422
236216,2,48.82066413063707,-111.04210236755782,-101.71401549618393
238204,1,39.00284759940084,-31.73775607507578,-35.71638235557433
238204,2,32.773194468974424,-111.14128475270914,-109.81594122880567
238229,1,20.010200076503658,-24.69736440749157,-24.937256377826277
238229,2,22.856107115663733,-72.75546675495171,-71.90166898863731
238230,1,19.82620897422408,-36.18744208520297,-37.87875272950396
238230,2,16.776666963499004,-66.55206722473987,-66.88009984927892
238235,1,22.23436762221864,-36.21305846013505,-39.08961374361808
238235,2,17.66961206021545,-66.62057782188228,-67.91832327936767
302200,1,19.30809475856352,-20.604088352529285,-20.919153781016163
302200,2,14.938762210111854,-44.665692480777416,-44.88618101258218
303203,1,22.93554340190546,-37.24486049855038,-38.52075007227513
303203,2,12.888816855836922,-77.28636798208642,-77.68417968292007
305202,1,55867.48060212293,-165195.86386688479,-162705.0464895734
305202,2,58571.587869922456,-154239.42245682082,-151145.58069149213
314207,1,0.8584511622493096,-95.84083315002793,-99.04435514741593
314207,2,0.7594646797335258,-95.52745425293672,-99.16427568557542
317200,1,16.38726962520107,-13.392887104794147,-13.896390699350917
317200,2,18.383307910480855,-37.402908199015066,-37.4536514707302
319204,1,13.971414771493563,-25.74935669691061,-25.71119958196964
319204,2,11.0034911466256,-46.495716745768355,-46.4068172181838
401009,1,34248.43083561956,-1165750588.9535937,-406.88077289834234
401009,2,27.367724612172168,-42.495229453455096,-56.67428195029954
401210,1,12.320522273817964,1.046501739000355,0
401210,2,14.674796535294321,-10.37026688541216,-9.855274497344716
401217,1,0,-100.00118386683783,-100
401217,2,0,-99.99975285091848,-100
405212,1,39042.82642872448,-158415.07171896333,-157003.59975503042
405212,2,49768.12850804877,-181950.6925245295,-178755.2332835968
405228,1,20.12392084661065,-27.581637036034216,-29.397389153251545
405228,2,28.05220533526176,-93.62477026818298,-93.84513230869355
405230,1,16.00132668953551,-47.19352833507607,-49.67443985865575
405230,2,14.971315872060984,-113.45345956618145,-112.0283972275647
405234,1,5698502001426613e52,-30749116522208297e53,-30028632471246117e50
405234,2,4204607404966575e108,-19738543710771558e113,-14391236326176482e105
405237,1,19.24675724305885,0.3467227312929631,-0.362401145561045
405237,2,38.46956262039005,-41.011736040597334,-42.647987995172286
405238,1,18.468986601740873,-30.88109528755815,-31.306431075768238
405238,2,23.29996437872444,-111.15998063271908,-110.24178179446946
405240,1,20.757479396077912,-43.511287369073095,-46.01129392135851
405240,2,20.816018798935744,-102.41683678857463,-102.03512860350517
405248,1,16.37913288348367,-42.102988185643184,-43.36637900726175
405248,2,12.2393543325812,-105.80520441068685,-105.43841942461599
405251,1,29.808802696719603,-0.5573890031360619,-2.3949196524064327
405251,2,56.00618258798694,-70.09205329608423,-76.30650445389757
405274,1,21.936787515029188,-3.718336732856689,-4.33982671466203
405274,2,42.87641117648684,-60.70175081553263,-67.49619237962627
406208,1,8.60480477476785,-12.49778434769193,-12.874924763016327
406208,2,10.372737753085985,-62.30646890947726,-62.46973636712953
406213,1,18.381335187907858,-28.467552934225203,-29.564865933777263
406213,2,27.199985200820407,-115.3528736312486,-113.61698654905368
406214,1,19.183893969231228,-45.6002615929671,-47.899333584959116
406214,2,22.522847008157967,-123.1436970799033,-120.889103295219
406226,1,25.174118513059035,-20.828513303348313,-21.69939449723227
406226,2,19.10317229704348,-65.21122965370651,-66.92654176406461
406235,1,5.5990465619480005,-110.86492643319836,-109.63312774039802
406235,2,6.891292671707504,-106.85906753006697,-105.70516092382638
407214,1,2.3842965996417592e+97,3599210522962793e86,35646988809090034e79
407214,2,2552692064026699e135,15226511125549207e142,3638389031312904e132
407217,1,13.723510389847814,-11.370802578299847,-11.67224001187937
407217,2,28.725462264250822,-69.24540807432453,-69.91231750048433
407246,1,22.422954389154132,-38.58104378230281,-39.62386399676204
407246,2,21.24956305585289,-122.42019284487581,-119.88158264718915
408202,1,20.08520797653397,-24.52650634008917,-24.765573894918408
408202,2,34.49342479751982,-93.47721189465341,-92.10988193506013
410156,1,13.19528408048821,0.5535469715665824,0
410156,2,20.461627688298414,-33.4646938884896,-34.32722753832718
410713,1,22.144587977574062,-18.516058301169185,-19.050004510156647
410713,2,37.94404459901506,-57.55476257168783,-59.55054625566103
411003,1,25.38555339130985,2.1793533966952023,0
411003,2,70.84556333043832,95.35033994854508,77.12804353158086
415223,1,16.505412823693362,-20.606369583263245,-20.516596305886427
415223,2,17.22137621823356,-72.86445774812873,-72.90627411676729
603003,1,2.683498965903458,4.934468038602729,2.5476369588395458
603003,2,1.7447884163728737,3.91105771812136,1.5934322012429232
603005,1,111517.74970687041,-178691.96744166396,-172250.4858075968
603005,2,107030.2927123652,-172276.14622127917,-166625.18234546136
603007,1,16.98921458725776,2.5446631580674004,0
603007,2,22.40532221280084,29.18204993532835,23.71343603808156
603190,1,1.6413229436137442,-100.13180950034892,-100.0764531854897
603190,2,2.479953619602682,-96.09323617540643,-96.1358939037482
606001,1,429.11562593649955,-805.5996201698022,-454.7403941739184
606001,2,429.5571171199136,-824.1655122934377,-454.7614935585754
606185,1,30024.738334349935,-31205.325991174526,-30672.615555250366
606185,2,30141.5690494577,-22888.39736776689,-22484.547677639694
606195,1,0.9849035644164985,-94.62062418046773,-94.61494848594786
606195,2,0.5160279806763128,-98.17894271829627,-98.14571741812037
608151,1,17.635990481684747,-10.540705154186828,-11.368168046296597
608151,2,28.740041223605743,-71.42425711313331,-73.71274181315945
610008,1,8.23402897335878,0.2584324009090912,0
610008,2,20.914706189548475,-55.43671418584799,-55.74095424329285
613002,1,19.924620611275678,-21.20344850431404,-21.002103474004496
613002,2,14.382097862375787,-68.93025240267754,-68.31700266260509
613146,1,12.11380618434092,-15.184518964228795,-15.565750928627281
613146,2,14.865463131369225,-76.34920409086804,-75.29688271655588
614044,1,5385.209554590556,16180.1793904291,15696.289695223202
614044,2,6814.496867847098,12648.995876898558,12074.890999847883
616041,1,6465152.726496199,-9190524.965268979,-8652433.315599864
616041,2,10834189.450728135,-15323931.207579846,-14371813.331650803
616178,1,12.697903318961728,-34.137149564861424,-34.675717421471056
616178,2,17.251470795893837,-108.02946752338303,-107.56612189841161
701002,1,110.94785930743255,4406.877403671565,5.350812370353408
701002,2,557.8818742509807,5579.810426862871,-449.7597619669987
A2390523,1,30.464557485676956,-49.81108483201209,-54.81985338245693
A2390523,2,16.2008752879957,-65.1571149553877,-65.93573145853705
138004B,1,5.946207951773813,0.16994480132412423,4.0310581891542666e-5
138004B,2,13.494391270046716,0.8676610174146263,3.7577926935058606e-5
204036,1,287.1146490178239,1729.4486564935657,1639.0821211268772
204036,2,176.38370863048283,1065.2682189025859,1020.503075224162
208004,1,38.97425659818192,-54.833512431848916,-61.80153493046038
208004,2,37.12772190495291,-102.26633825805361,-103.57236675762802
208005,1,24.9736351001469,-47.51304975390215,-48.569794908787884
208005,2,27.937314646830032,-92.02180679138172,-90.143148537896
210017,1,17.488402479196097,-26.078582433492837,-27.481281483512976
210017,2,13.62456765447191,-41.52360285279527,-41.839347268013924
210022,1,26.621099922608664,-24.99881090005065,-26.91647585844825
210022,2,22.4378442361555,-55.04137390247459,-56.846789182906306
215002,1,22.086087695054946,-39.83565409297733,-40.188914845721754
215002,2,21.8976568009299,-71.00409765559392,-71.66819203371332
216002,1,12.473119459787405,-36.744501260510354,-37.665946466259605
216002,2,12.13120150057366,-61.81294885261759,-62.28264898037342
218005,1,27.17658100174208,-33.49228458278558,-36.742255586236936
218005,2,20.397807924715607,-63.74396248795142,-65.06442922164123
221208,1,3736120.837444712,-4285698.265474728,-4147569.8219100204
221208,2,5345238.10047644,-6165704.391014469,-5997808.467989583
224213,1,0,-100,-100
224213,2,8.065406120749685e-8,-100.00000011550216,-100.00000009991079
226204,1,23944655052229728e85,14090391294172854e93,1778383021011338e82
226204,2,13453473020778011e141,626609173633183e156,47978601876755855e134
226205,1,8.142763550553633,-0.9009880985015715,-1.1418808442789823
226205,2,10.204198226026662,-37.654675407421095,-37.361090603678555
227205,1,16.907463296702588,-26.019979282584256,-26.504178419929396
227205,2,16.058607599705617,-48.874698350752205,-48.570859524271626
227210,1,12.612919880578701,-48.61904411495388,-48.880220198406725
227210,2,12.014914700652724,-80.98691837806932,-80.41319806077408
227213,1,18.785543143445004,-18.04882891664697,-18.623928910364818
227213,2,19.98978262069501,-44.55366366858516,-44.45751408258712
230205,1,17.550206841620096,-8.156768869163518,-7.970000878372639
230205,2,36.34663730911741,-94.90604773378013,-93.94230881458546
230209,1,18148875.98366919,33034274725207027e58,-99.27993645643909
230209,2,2274.3135224074413,-1276270274709260.8,-16.92275822323258
230210,1,5235705.603455244,15119439.948852979,11354025.644281473
230210,2,6051553.202991663,16340662.203792674,13009294.489470657
231211,1,21.786080728631838,-27.571991150638386,-29.28680224965185
231211,2,13.415363291935478,-72.9238482826996,-74.06541706770054
231213,1,20.05848972529279,-5.121710887582499,-5.848921591305402
231213,2,29.705048229772736,-58.574555583983496,-59.561723169939405
234200,1,24.654465535518263,-55.021179239869966,-59.16204437466936
234200,2,28.330673161452495,-110.75726994192549,-110.9697071887307
234201,1,29.515252890607293,-34.842927282965555,-37.256978522865026
234201,2,27.500891882163643,-81.21863822926728,-81.84097106658066
235204,1,1437.9217095158856,9177.041029239841,9601.129042779363
235204,2,1529.536594038107,9070.562587436729,9439.215294801561
