gauge,model,parameter,exit_message,acceptance_rate,gelman_statistic,best_coefficients
003303A,streamflow_model_precip_only,a0,Convergence criteria reached,0.2363997472846543,1.055831996130071,-47.49391084144372
003303A,streamflow_model_precip_only,a1,Convergence criteria reached,0.2363997472846543,1.018044773746935,0.11538867138201608
003303A,streamflow_model_precip_only,b,Convergence criteria reached,0.2363997472846543,1.0007668592440189,0.2992939148689469
003303A,streamflow_model_precip_only,sd,Convergence criteria reached,0.2363997472846543,1.018662804688521,15.43905192687452
102101A,streamflow_model_precip_only,a0,Convergence criteria reached,0.22194590816216797,1.0087613930230088,-826.233390358946
102101A,streamflow_model_precip_only,a1,Convergence criteria reached,0.22194590816216797,1.008358268118994,1.0730858680177064
102101A,streamflow_model_precip_only,b,Convergence criteria reached,0.22194590816216797,1.00073538630645,0.03022728605506403
102101A,streamflow_model_precip_only,sd,Convergence criteria reached,0.22194590816216797,1.009036565395468,268.76171054297475
105101A,streamflow_model_precip_seasonal_ratio_auto,a0,Convergence criteria reached,0.18491320271557887,1.0386482844005978,-295.7623269422752
105101A,streamflow_model_precip_seasonal_ratio_auto,a1,Convergence criteria reached,0.18491320271557887,1.0400151176876946,0.3954836909669891
105101A,streamflow_model_precip_seasonal_ratio_auto,a2,Convergence criteria reached,0.18491320271557887,1.0161377491180092,0.2607189588895569
105101A,streamflow_model_precip_seasonal_ratio_auto,a4,Convergence criteria reached,0.18491320271557887,1.0198214750605443,360.87868592361474
105101A,streamflow_model_precip_seasonal_ratio_auto,b,Convergence criteria reached,0.18491320271557887,1.009109958374339,0.1159307365047998
105101A,streamflow_model_precip_seasonal_ratio_auto,sd,Convergence criteria reached,0.18491320271557887,1.0132321658594194,134.26014395551766
105105A,streamflow_model_precip_auto,a0,Convergence criteria reached,0.20602349715023116,1.0159333377508295,-576.894753202705
105105A,streamflow_model_precip_auto,a1,Convergence criteria reached,0.20602349715023116,1.0069282436767624,0.5444736332995401
105105A,streamflow_model_precip_auto,a2,Convergence criteria reached,0.20602349715023116,1.0036476403458563,0.2890011375003956
105105A,streamflow_model_precip_auto,b,Convergence criteria reached,0.20602349715023116,1.0014295810011478,0.01736492595972357
105105A,streamflow_model_precip_auto,sd,Convergence criteria reached,0.20602349715023116,1.022427829413861,185.87673053009368
107001B,streamflow_model_precip_auto,a0,Convergence criteria reached,0.20075075276911492,1.0160688681898324,-520.4480284221318
107001B,streamflow_model_precip_auto,a1,Convergence criteria reached,0.20075075276911492,1.009751183903912,0.5759525634963166
107001B,streamflow_model_precip_auto,a2,Convergence criteria reached,0.20075075276911492,1.0033783545262975,0.22950752851712689
107001B,streamflow_model_precip_auto,b,Convergence criteria reached,0.20075075276911492,1.0014057379210504,0.02589866439690825
107001B,streamflow_model_precip_auto,sd,Convergence criteria reached,0.20075075276911492,1.0312526617306983,122.3158811575044
108002A,streamflow_model_precip_auto,a0,Convergence criteria reached,0.18806121625981287,1.0173805238582616,-1047.8029327691238
108002A,streamflow_model_precip_auto,a1,Convergence criteria reached,0.18806121625981287,1.0080296823438688,0.9346826188631352
108002A,streamflow_model_precip_auto,a2,Convergence criteria reached,0.18806121625981287,1.0042285192285434,0.17678652907319423
108002A,streamflow_model_precip_auto,b,Convergence criteria reached,0.18806121625981287,1.0018283505554342,0.01218710613612422
108002A,streamflow_model_precip_auto,sd,Convergence criteria reached,0.18806121625981287,1.01498266517049,277.544208862257
111005A,streamflow_model_precip_auto,a0,Convergence criteria reached,0.15365227443811158,1.01719861900233,-947.940168043304
111005A,streamflow_model_precip_auto,a1,Convergence criteria reached,0.15365227443811158,1.008297712661023,0.8753637429325735
