gauge,decade,sum_decade_realspace_CO2_off_streamflow,sum_decade_realspace_CO2_on_streamflow,sum_decade_realspace_observed_streamflow,years_of_data,realspace_CO2_off_streamflow_per_year,realspace_a3_on_streamflow_per_year,CO2_impact_on_streamflow_mm_per_year,CO2_impact_on_streamflow_percent,CO2_model,non_CO2_model,evidence_ratio,lat,lon,state,status,parent_catchment,catchment_area_sq_km,record_length,prop_forested,river_di,binned_evidence_ratio,impact_of_CO2_term,IQR_CO2_impact_on_streamflow_percentage,mean_CO2_impact_on_streamflow_percentage,median_CO2_impact_on_streamflow_percentage
701002,2,10.658748721475725,36.95212919711086,37.09725814901161,10,1.0658748721475724,3.6952129197110857,2.6293380475635133,246.6835569794234,219.36066594529385,236.05718756337265,4222.830045007371,-28.8242,114.8455,WA,no_nested,NA,11608.3,51,0.01186,0.210003,Strong,Positive-Intercept,179.77312788773105,503.6301759281829,266.2505690780734
138004B,2,277.94815608276906,947.8352591837438,886.1702050447035,3,92.64938536092302,315.94508639458127,223.29570103365825,241.01152982698392,412.1926110124937,438.1193518946219,426501.1921332328,-25.903611,152.349167,QLD,no_nested,NA,1189,36,0.71588,0.344376,Very Strong,Positive-Slope,75.15545338063725,237.16447303616667,232.9838208676425
411003,2,637.346335088149,995.6505309208515,1151.815901104308,7,91.04947644116415,142.2357901315502,51.18631369038606,56.21813072529031,365.977553093793,383.4647942851451,6270.557816859645,-35.2567,149.5422,NSW,no_nested,NA,63.9,34,0.56136,0.102489,Strong,Positive-Intercept,24.62613795052872,58.97664960717647,57.21419430126544
204036,2,1327.9441481718532,1938.616688494305,1887.5045021043081,7,189.7063068816933,276.9452412134721,87.23893433177881,45.986312087232655,664.7110458290388,678.6615274030592,1069.8147557601362,-28.9341,152.2171,NSW,sub_catchment,204007,238.6,55,0.42426,0.133183,Strong,Positive-Intercept,19.805656834150778,51.037673819591326,49.50009400579323
224213,2,1877.987202795588,2242.637111546834,2347.3482321341107,9,208.66524475506534,249.18190128298158,40.51665652791624,19.417060361669407,472.0047671867191,483.5448951550957,320.55824265014496,-37.493889,147.271389,VIC,sub_catchment,224203,666.3,46,0.8799,0.0627,Moderately Strong,Positive-Intercept,11.218246285551952,23.690948423974355,22.02515418830748
603007,2,1196.789030615465,1426.3514084506967,1586.5653831490117,10,119.67890306154649,142.63514084506966,22.956237783523164,19.181524225466546,361.6100476626411,375.2649449915243,922.8333488800356,-34.9583,117.5032,WA,no_nested,NA,79.7,36,0.35039,0.561872,Moderately Strong,Positive-Intercept,9.863552718884828,23.157802190430065,19.889643639829117
701002,1,19.12980593214851,19.12980593214852,22.022099149011613,10,1.9129805932148511,1.912980593214852,8.881784197001252e-16,4.6429034505127985e-14,219.36066594529385,236.05718756337265,4222.830045007371,-28.8242,114.8455,WA,no_nested,NA,11608.3,51,0.01186,0.210003,Strong,Positive-Intercept,28.03199493575227,65.67215662578442,0.933095494044138
138004B,1,623.556155226467,623.5561552264672,564.6474311192093,8,77.94451940330838,77.9445194033084,2.842170943040401e-14,3.646402549913938e-14,412.1926110124937,438.1193518946219,426501.1921332328,-25.903611,152.349167,QLD,no_nested,NA,1189,36,0.71588,0.344376,Very Strong,Positive-Slope,0,0,0
411003,1,990.6630120714143,990.6630120714145,815.6511131341105,9,110.07366800793493,110.07366800793494,1.4210854715202004e-14,1.291031267730406e-14,365.977553093793,383.4647942851451,6270.557816859645,-35.2567,149.5422,NSW,no_nested,NA,63.9,34,0.56136,0.102489,Strong,Positive-Intercept,0,0,0
405237,1,2225.231716407019,2225.231716407019,2209.9836021490114,10,222.52317164070192,222.52317164070192,0,0,517.5823549452841,528.4298181582352,226.72358912688944,-36.762369,145.585843,VIC,main_catchment,405237,341.5,52,0.13489,0.659453,Moderately Strong,Negative-Slope,0.07798095828137,-0.6806044025798461,0
405251,1,1530.837870959354,1530.837870959354,1535.0211321490115,10,153.0837870959354,153.0837870959354,0,0,444.5980794867888,468.8480581599945,184423.3735354976,-36.968611,145.783889,VIC,no_nested,NA,118.6,47,0.74215,0.148209,Very Strong,Negative-Intercept,1.6134513173054623,-2.3794432005856674,0
603007,1,1275.7745427583334,1275.7745427583334,1223.7528791490117,10,127.57745427583333,127.57745427583333,0,0,361.6100476626411,375.2649449915243,922.8333488800356,-34.9583,117.5032,WA,no_nested,NA,79.7,36,0.35039,0.561872,Moderately Strong,Positive-Intercept,0,0.6885824433941756,0
610008,1,1094.894379690712,1094.894379690712,1159.9616461341104,9,121.65493107674577,121.65493107674577,0,0,283.3050341927397,294.5470921077844,276.17340779054206,-33.806667,115.443611,WA,sub_catchment,610001,15.7,30,0.99974,0.083876,Moderately Strong,Negative-Slope,0,-0.01458621672494213,0
224213,1,2494.939111871697,2494.939111871697,2484.2533821490115,10,249.49391118716972,249.49391118716972,0,0,472.0047671867191,483.5448951550957,320.55824265014496,-37.493889,147.271389,VIC,sub_catchment,224203,666.3,46,0.8799,0.0627,Moderately Strong,Positive-Intercept,0,1.4198722278728106,0
401210,1,4947.123847206069,4947.123847206068,5174.524470149012,10,494.71238472060685,494.7123847206068,-5.684341886080802e-14,-1.1490195235947211e-14,737.9117497643913,748.0504400441931,159.07012455037125,-36.568611,147.413611,VIC,no_nested,NA,412.9,63,0.97714,0.028576,Moderately Strong,Negative-Intercept,0,-0.03826380846925087,0
204036,1,1802.5793356117654,1802.5793356117651,1415.0568011490116,10,180.25793356117654,180.25793356117651,-2.842170943040401e-14,-1.576724467484154e-14,664.7110458290388,678.6615274030592,1069.8147557601362,-28.9341,152.2171,NSW,sub_catchment,204007,238.6,55,0.42426,0.133183,Strong,Positive-Intercept,0,0.01330460000382189,0
410156,1,891.3663621486671,891.366362148667,867.4479241490117,10,89.13663621486671,89.1366362148667,-1.4210854715202004e-14,-1.5942776526754143e-14,352.61940750443,363.35096058179573,213.95731632079065,-35.35,147.55,NSW,no_nested,NA,144.4,36,0.06104,0.24856,Moderately Strong,Negative-Intercept,0,0,0
407214,1,800.8139529699947,800.8139529699946,664.1636271490116,10,80.08139529699947,80.08139529699946,-1.4210854715202004e-14,-1.774551337735553e-14,596.3410732509755,608.1760642564228,371.48017675612306,-37.296944,143.789444,VIC,no_nested,NA,305.7,63,0.28526,0.235117,Moderately Strong,Negative-Intercept,20.19100049347655,-12.054995843996217,-10.905337296406405
231213,1,1901.9768718430153,1895.5630199301222,1767.8904651490116,10,190.19768718430151,189.55630199301223,-0.6413851912892881,-0.3372202894706001,616.0685690209804,630.601972435657,1431.8200945608914,-37.496111,144.359722,VIC,sub_catchment,231211,153.4,59,0.97845,0.13992,Strong,Negative-Intercept,7.830417842209241,-4.773746236133391,-1.063199184221125
401217,1,3106.6110276275076,3089.0893705608946,3088.672804149012,10,310.6611027627508,308.9089370560895,-1.7521657066612875,-0.5640119381148921,529.8714001347741,539.4737374825795,121.65250658431208,-36.756111,147.708611,VIC,no_nested,NA,389.2,48,0.93866,0.019382,Moderately Strong,Negative-Slope,15.018677004197531,-7.624682788702792,-2.254190844847779
405274,1,1592.7575564604458,1580.8214216397485,1579.3505991490115,10,159.2757556460446,158.08214216397485,-1.1936134820697362,-0.7494006085410012,433.5805477740769,444.8516929753676,280.21932514762426,-37.106111,145.605,VIC,no_nested,NA,181.4,44,0.26622,0.226042,Moderately Strong,Negative-Intercept,3.95651089594833,-3.842969307812392,0
405234,1,3047.442543222424,3021.089060668512,2942.4579471490115,10,304.7442543222424,302.1089060668512,-2.635348255391193,-0.864773730107648,535.0197377012706,561.7804206774367,647155.2433680369,-36.888,145.68,VIC,sub_catchment,405237,154.8,54,0.14744,0.529223,Very Strong,Negative-Slope,13.269696290339551,-11.055761270895454,-11.670147570679166
226204,1,3252.269322597235,3218.9886870055802,3315.5670661490117,10,325.22693225972347,321.898868700558,-3.3280635591654573,-1.0233050307493272,669.2639284255879,681.2474009930079,400.1087094103,-38.089,146.16,VIC,main_catchment,226204,562.9,63,0.92791,0.223117,Moderately Strong,Negative-Intercept,12.5803788783856,-7.194829725431664,-4.806538487525019
226205,1,3219.180828689664,3185.9413743099576,3597.2743491341103,9,357.68675874329597,353.99348603443974,-3.6932727088562274,-1.0325438721389206,658.7985409700664,692.1766668796769,17699783.30484961,-37.90701017,146.0221188,VIC,sub_catchment,226204,296.1,60,0.98241,0.175886,Extremely Strong,Negative-Slope,1.410527184807579,-1.2375057944518375,-0.8897901125760794
235205,1,9959.947338382928,9733.336562432914,10327.254552149012,10,995.9947338382929,973.3336562432914,-22.661077595001416,-2.2752206236745636,740.6902327980293,804.9392481519598,89432715554432.84,-38.638056,143.443056,VIC,sub_catchment,235224,4.4,62,1,0.127714,Extremely Strong,Negative-Slope,2.127994062314703,-2.7397715371462397,-2.3749667801237613
230205,1,713.5860328264295,694.366841119257,648.5521911490116,10,71.35860328264295,69.4366841119257,-1.9219191707172456,-2.693325096491522,537.1698193289262,556.1374109951113,13144.988115986129,-37.632,144.8,VIC,no_nested,NA,861.2,60,0.19453,0.260152,Very Strong,Negative-Intercept,8.153429561542769,-4.991504245823002,-3.426905946362399
603005,1,762.9179740234465,730.6866420678425,804.1213651490116,10,76.29179740234466,73.06866420678425,-3.2231331955604077,-4.224744081676796,327.301624801132,342.9009591829704,2439.7898582715575,-34.8276,117.3929,WA,sub_catchment,603004,51.5,36,0.99799,2.37e-4,Strong,Negative-Intercept,28.605600421021165,-23.992010583763776,-25.617818636505973
235219,1,8694.831391206415,8318.285834338365,8417.561876149011,10,869.4831391206415,831.8285834338365,-37.654555686805,-4.330682677169246,603.5996673272317,627.8973611933594,188876.17735386852,-38.7031718,143.4772919,VIC,main_catchment,235219,90.3,51,0.9705,0.152745,Very Strong,Negative-Slope,3.5636435372218576,-3.8189457475173016,-3.582470197443266
405212,1,1110.7567132638753,1038.7090171131572,1030.8194391490115,10,111.07567132638754,103.87090171131572,-7.204769615071811,-6.486361530871271,531.8229496248736,553.6994685056537,56289.282978719675,-37.1,145.06,VIC,no_nested,NA,333.2,56,0.45429,0.660667,Very Strong,Negative-Intercept,7.687590397286028,-6.7552718739606465,-5.562515195650943
608151,1,1593.5844871250972,1482.6572047882707,1543.8166781490115,10,159.35844871250973,148.26572047882706,-11.092728233682664,-6.960866099854219,560.7919506267539,603.7055391127695,2082415266.886701,-34.3272,115.7846,WA,no_nested,NA,770.4,63,0.8285,0.12992,Extremely Strong,Negative-Intercept,5.158457387215502,-9.292348903993346,-8.2668985438120135
616041,1,1565.5038489201813,1450.4031901970743,1498.5057161490115,10,156.55038489201814,145.04031901970743,-11.510065872310719,-7.352307616649986,374.10867859213784,405.8432952769908,7781878.678786208,-32.2479,116.1124,WA,no_nested,NA,81.2,40,0.98158,0.146399,Extremely Strong,Negative-Slope,13.449705286853677,-16.162867608482962,-9.912339084923143
401210,2,4986.729328429584,4596.954259628464,4194.5791751490115,10,498.6729328429584,459.69542596284634,-38.97750688011206,-7.816246744714901,737.9117497643913,748.0504400441931,159.07012455037125,-36.568611,147.413611,VIC,no_nested,NA,412.9,63,0.97714,0.028576,Moderately Strong,Negative-Intercept,7.2419639590418035,-10.29839010024136,-8.615908956672412
