year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function
1959,3006.325935,NA,106.5338379,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1960,1759.060941,NA,77.48886446,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1961,1438.296253,NA,60.67897041,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1962,1987.517187,NA,72.07602289,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1963,2719.093442,NA,98.74425271,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1964,2684.829063,NA,100.056293,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1965,2371.021248,NA,89.75359419,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1966,1517.413749,NA,63.44077657,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1967,2997.539374,96.33688284,104.4442337,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1968,1978.664999,83.08881273,83.2655849,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1969,2450.24625,86.40193682,90.32148974,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1970,2235.949067,73.57528078,86.97881897,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1971,2452.664373,106.9180677,91.79590868,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1972,2737.600308,106.753648,102.0675014,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1973,3181.075002,106.45432219999999,115.6073184,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1974,2498.894068,117.6516301,101.1845864,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1975,2930.542192,97.52565595,106.2753687,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1976,2207.670629,97.61834229,88.6423902,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1977,3698.364994,144.3084297,129.3921868,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1978,1709.828128,67.70840443,78.07460966,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1979,3381.976869,121.6653641,119.9921549,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1980,2189.905625,74.96489392,86.71018669,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1981,3079.934686,104.6035932,111.4604106,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1982,2399.774377,94.24739889,89.67428909,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1983,1870.244372,68.71256505,70.39536873,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1984,1961.898749,78.93367328,76.37537948,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1985,2576.308434,84.65478905,96.56487554,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1986,2455.919058,95.74523535,94.05447861,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1987,2115.853749,83.99674102,77.6860465,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1988,2454.960001,82.19514458,91.65893573,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1989,2824.576569,100.5575091,102.440715,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1990,2406.432842,91.24709728,90.42435866,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1991,2324.685349,92.57165396,91.75230461,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1992,1583.238129,52.41147378,64.651538,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1993,1988.011584,71.61124765,70.23972998,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1994,2006.186833,82.75123788,74.91865226,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1995,2100.118738,74.64429978,79.05154385,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
1996,2542.498463,89.61749798,94.33941354,113004A,streamflow_model_precip_seasonal_ratio_auto,constant_sd_objective_function
