gauge,streamflow_model,objective_function,optimiser,parameter,parameter_value,loglikelihood,AIC,exit_message,near_bounds
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,a0_d,0.8870074754001962,68.49413249635927,144.98826499271854,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,a0_n,4.6500049154778935,68.49413249635927,144.98826499271854,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,a1,0.00642366716097546,68.49413249635927,144.98826499271854,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,sd,2.57811931043907,68.49413249635927,144.98826499271854,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a0_d,0.8874556815831056,68.49413409139878,146.98826818279755,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a0_n,4.650455199558849,68.49413409139878,146.98826818279755,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a1,0.00642318341591959,68.49413409139878,146.98826818279755,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,sd,2.578328113805819,68.49413409139878,146.98826818279755,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,scale_CO2,1.0714624715831529e-8,68.49413409139878,146.98826818279755,Covariance matrix is not numerically positive definite.,TRUE
105102A,streamflow_model_drought_precip_auto,constant_sd_objective_function,cma_result,a0_d,0.8245766342686807,68.47925337514182,146.95850675028365,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_auto,constant_sd_objective_function,cma_result,a0_n,4.578564369471451,68.47925337514182,146.95850675028365,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_auto,constant_sd_objective_function,cma_result,a1,0.00648018049637884,68.47925337514182,146.95850675028365,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_auto,constant_sd_objective_function,cma_result,a2,0.06033216984444145,68.47925337514182,146.95850675028365,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_auto,constant_sd_objective_function,cma_result,sd,2.5768134776003606,68.47925337514182,146.95850675028365,Standard deviation below tolerance in all coordinates.,FALSE
105102A,streamflow_model_drought_precip_auto,CO2_variable_objective_function,cma_result,a0_d,0.8245795602636576,68.47925460669622,148.95850921339243,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_auto,CO2_variable_objective_function,cma_result,a0_n,4.578566211833845,68.47925460669622,148.95850921339243,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_auto,CO2_variable_objective_function,cma_result,a1,0.00648017940420822,68.47925460669622,148.95850921339243,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_auto,CO2_variable_objective_function,cma_result,a2,0.06033256005778908,68.47925460669622,148.95850921339243,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_auto,CO2_variable_objective_function,cma_result,sd,2.5768125553518866,68.47925460669622,148.95850921339243,Covariance matrix is not numerically positive definite.,FALSE
105102A,streamflow_model_drought_precip_auto,CO2_variable_objective_function,cma_result,scale_CO2,1.0000003586728244e-8,68.47925460669622,148.95850921339243,Covariance matrix is not numerically positive definite.,TRUE
107001B,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,a0_d,-57.2223616916892,157.27496909108874,322.54993818217747,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,a0_n,-54.99024861110345,157.27496909108874,322.54993818217747,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,a1,0.08906719733736362,157.27496909108874,322.54993818217747,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result,sd,19.46505529308112,157.27496909108874,322.54993818217747,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a0_d,-59.00442877896174,157.2484743375851,324.4969486751702,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a0_n,-56.879378438288995,157.2484743375851,324.4969486751702,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a1,0.09030072613072772,157.2484743375851,324.4969486751702,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,sd,17.43524616915435,157.2484743375851,324.4969486751702,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,scale_CO2,0.02707751061919365,157.2484743375851,324.4969486751702,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a0_d,-59.00442741227741,157.2484743375851,324.49694867517013,Standard deviation below tolerance in all coordinates.,FALSE
107001B,streamflow_model_drought_precip_only,CO2_variable_objective_function,cma_result,a0_n,-56.87938108501086,157.2484743375851,324.49694867517013,Standard deviation below tolerance in all coordinates.,FALSE
