year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function,optimiser
1959,1004.18589102,NA,11.100560847137952,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1960,865.37234412,NA,10.208868824417896,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1961,662.81046938,NA,8.907678761584933,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1962,1057.08330729,NA,11.440356242932,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1963,1447.97910588,NA,13.951340747697865,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1964,1437.53385828,NA,13.884243953701484,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1965,798.3533141,NA,9.778360882117994,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1966,481.20253932,NA,7.741089865085781,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1967,1129.75812108,NA,11.907195057704827,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1968,1025.37110759,NA,11.236647627116817,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1969,764.85776245,18.110647515252506,9.56319660694513,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1970,1015.82765689,8.094366294367836,11.175343676252837,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1971,1403.67281596,13.644673396180549,13.6667318881141,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1972,1307.88746308,15.306061474623911,13.051438662316398,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1973,1442.89416026,11.53197080661532,13.918676749503325,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1974,1603.33913679,18.395220655162596,14.949321876382562,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1975,1221.28688089,9.47510144204883,12.49514534638114,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1976,1561.12352169,16.126367647250518,14.678142815984312,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1977,1290.64877586,14.17699661095619,12.940703073322956,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1978,925.39368632,6.113744842460292,10.594425949265704,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1979,1669.00759461,16.784259232029818,15.3711541923928,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1980,974.57423073,9.920103033385717,10.91034539735112,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1981,1496.26495297,14.918022208679938,14.261512957989778,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1982,773.35650469,NA,9.617789698381811,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1983,842.91974943,6.345070578630363,6.301643389151353,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1984,1108.91103221,7.534138963645613,8.010282857450978,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1985,1087.27216293,5.912414343420918,7.8712819634564,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1986,813.01853592,8.23507328344092,6.10956794585385,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1987,829.69157558,6.67222363436654,6.2166700031914335,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1988,722.6632666099999,NA,5.529155769566109,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1989,1044.28665438,NA,7.595157363785936,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1990,873.04810925,NA,6.4951779447411395,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
1991,1067.98139197,13.413332077290296,7.74736447153075,105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,cma_result
