gauge,streamflow_model,objective_function,optimiser,parameter,parameter_value,loglikelihood,AIC,exit_message,near_bounds
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a0,-11.48443481443752,40.01455537769948,94.02911075539896,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a1,0.020254961423717206,40.01455537769948,94.02911075539896,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a2,0.448209821037276,40.01455537769948,94.02911075539896,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a3,-0.03636243698088293,40.01455537769948,94.02911075539896,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a4,-11.299273008568946,40.01455537769948,94.02911075539896,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a5,68.03801259262593,40.01455537769948,94.02911075539896,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,sd,0.7113653848906523,40.01455537769948,94.02911075539896,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a0,-11.484415281861459,40.01455537768429,94.02911075536858,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a1,0.02025493711305244,40.01455537768429,94.02911075536858,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a2,0.44820942386171314,40.01455537768429,94.02911075536858,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a3,-0.03636240979378458,40.01455537768429,94.02911075536858,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a4,-11.299268474564855,40.01455537768429,94.02911075536858,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a5,68.03797844065629,40.01455537768429,94.02911075536858,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,sd,0.7113641915796074,40.01455537768429,94.02911075536858,Standard deviation below tolerance in all coordinates.,FALSE
A2390523,streamflow_model_separate_shifted_CO2_seasonal_ratio_auto,constant_sd_objective_function,cma_result,a0,-11.484433262670848,40.01455537765351,94.02911075530702,Standard deviation below tolerance in all coordinates.,FALSE
