gauge,streamflow_model,objective_function,optimiser,parameter,parameter_value,loglikelihood,AIC,exit_message,near_bounds
102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,a0,-109.4716584470046,213.14568495977568,432.29136991955136,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,a1,0.2410364974436317,213.14568495977568,432.29136991955136,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,sd,78.37528764473002,213.14568495977568,432.29136991955136,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a0,-106.4300278028384,213.14912737181248,434.29825474362497,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a1,0.24011681634093748,213.14912737181248,434.29825474362497,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,sd,77.48756353406084,213.14912737181248,434.29825474362497,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,scale_CO2,0.00415675523483729,213.14912737181248,434.29825474362497,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a0,-109.25463705730196,213.13126316997105,434.2625263399421,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a1,0.24173316038687337,213.13126316997105,434.2625263399421,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a2,0.02382871952369747,213.13126316997105,434.2625263399421,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,sd,79.15654833516743,213.13126316997105,434.2625263399421,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a0,-114.44511982883586,213.1731130567356,436.3462261134712,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a1,0.24711319965966583,213.1731130567356,436.3462261134712,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a2,0.02098591223284573,213.1731130567356,436.3462261134712,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,sd,78.44923714275937,213.1731130567356,436.3462261134712,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,scale_CO2,6.264967929762202e-4,213.1731130567356,436.3462261134712,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,a0,-8.290526953084168,92.48725252221206,190.97450504442412,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,a1,0.05535004889830332,92.48725252221206,190.97450504442412,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,sd,13.746846155675907,92.48725252221206,190.97450504442412,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a0,-12.48432408141366,92.48841809535092,192.97683619070185,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a1,0.05787624678720429,92.48841809535092,192.97683619070185,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,sd,13.767558893996004,92.48841809535092,192.97683619070185,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,scale_CO2,5.277751520603412e-4,92.48841809535092,192.97683619070185,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a0,-23.25246016956413,88.4289810496462,184.8579620992924,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a1,0.06514349755348213,88.4289810496462,184.8579620992924,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a2,0.4142960665306583,88.4289810496462,184.8579620992924,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,sd,11.638374577775322,88.4289810496462,184.8579620992924,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a0,-13.705135857305834,88.5688173922799,187.1376347845598,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a1,0.05877250493048651,88.5688173922799,187.1376347845598,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a2,0.4600828103823349,88.5688173922799,187.1376347845598,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,sd,11.43557239194192,88.5688173922799,187.1376347845598,Convergence criteria reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,scale_CO2,0.00233457271215277,88.5688173922799,187.1376347845598,Convergence criteria reached,FALSE
