gauge,streamflow_model,objective_function,parameter,parameter_values
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,75.00101156188418
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-201.58598214734445
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.26428903865428e-6
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,0.15335298217683865
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,75.00101156188418
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-201.58598214734445
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.26428903865428e-6
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,0.15335298217683865
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,75.00101156188418
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-201.58598214734445
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.26428903865428e-6
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,0.15335298217683865
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,75.00101156188418
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-201.58598214734445
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.26428903865428e-6
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,0.15335298217683865
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,75.00101156188418
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-201.58598214734445
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.26428903865428e-6
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,0.15335298217683865
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-192.31937519964177
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-201.58598057989985
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.2642893090768326e-6
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,338.2538304018637
105102A,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-192.31937519964177
