gauge,streamflow_model,objective_function,parameter,parameter_values
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-156.66549406862416
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-90.71875336102693
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.3436892549608095e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,300.5575203894391
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-69.23873812692483
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-81.29155421269917
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.016147493285399044
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,15.7077818326234
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-65.60544510033978
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-9.673717925938774
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,4.985982095558788e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,12.128554967696903
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-58.39583847265462
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-22.601635040228814
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,2.1363337694513224e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,12.041844577263666
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-58.39583608675946
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-22.601635787079317
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.02300571890246265
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.749610877211913
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-58.39583608675946
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-22.601635787079317
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.02300571890246265
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.749610877211913
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-48.0594893581349
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-39.993177225674685
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.05791993800507792
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,8.388234682967326
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-48.0594893581349
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-39.993177225674685
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.05791993800507792
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,8.388234682967326
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-71.88245915470918
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-58.794719422982325
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.070992126263515
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.907252631280612
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-71.88245810733508
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-58.07008393109453
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.07099212077797329
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.907250332787505
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-71.88245518846847
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-58.07008298654813
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.07005146715397371
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.90725051600607
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-68.70639825897382
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-61.64454998117645
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.07916877111693699
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.45743759963361
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-72.92989223350023
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-58.283182033504545
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.07017131536926477
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,10.21334028198676
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-72.92989223350023
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-58.283182033504545
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.07017131536926477
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,10.21334028198676
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-72.92989223350023
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-58.283182033504545
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.07017131536926477
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,10.21334028198676
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-68.87442874709913
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-50.45892287523074
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.06555747618963866
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.072945638391177
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-68.87442874709913
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-50.45892287523074
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.06555747618963866
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.072945638391177
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-68.87443037429279
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-50.45892714729891
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.06555747950065673
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.199799852327262
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-68.87443037429279
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-50.45892714729891
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.06555747950065673
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.199799852327262
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-68.87443037429279
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-50.45892714729891
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.06555747950065673
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,9.199799852327262
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-65.36548529238587
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-50.822899482643436
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.06345598595421745
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,8.76093394928145
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-3.5049142032370924
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-2.789306641852363
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.01595812191354846
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,2.467216485842419
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-2.2270542226448242
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,1.8022805467263652
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.009247508223972661
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,2.337356029353016
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.32629400566816
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-1.0119777633209424
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.013564510505008691
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,2.6198441072853513
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.277708425396895
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.3869565739456107
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.0165281155988027
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.7012282111914796
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.277708425396895
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.3869565739456107
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.0165281155988027
