gauge,streamflow_model,objective_function,optimiser,parameter,parameter_value,loglikelihood,AIC,exit_message,near_bounds
102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,a0,63.906149133400845,240.32399540146451,486.64799080292903,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,a1,0.014789709103715697,240.32399540146451,486.64799080292903,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,sd,373.22544476447615,240.32399540146451,486.64799080292903,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a0,-114.89567596370858,240.00503183046138,488.01006366092275,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a1,1.0859421335904626e-5,240.00503183046138,488.01006366092275,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,sd,261.9083890728078,240.00503183046138,488.01006366092275,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_only,CO2_variable_objective_function,dream,scale_CO2,0.7975235942598378,240.00503183046138,488.01006366092275,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a0,-7.203599507535955,238.1878590429456,484.3757180858912,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a1,0.00374792081485487,238.1878590429456,484.3757180858912,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a2,0.3404938051207409,238.1878590429456,484.3757180858912,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,constant_sd_objective_function,dream,sd,317.1268947817506,238.1878590429456,484.3757180858912,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a0,36.29651913840303,237.70467668784562,485.40935337569124,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a1,6.275995199350827e-6,237.70467668784562,485.40935337569124,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a2,0.1796374453934615,237.70467668784562,485.40935337569124,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,sd,265.31506682709596,237.70467668784562,485.40935337569124,Maximum function evaluations reached,FALSE
102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,scale_CO2,9.703304425809654e-5,237.70467668784562,485.40935337569124,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,a0,-204.54526029507318,119.53359979819294,245.06719959638588,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,a1,4.8878169400346346e-5,119.53359979819294,245.06719959638588,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,sd,111.53018669276686,119.53359979819294,245.06719959638588,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a0,23.709050720861796,112.22290818227495,232.4458163645499,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,a1,0.004428985996489284,112.22290818227495,232.4458163645499,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,sd,41.696957933075126,112.22290818227495,232.4458163645499,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,scale_CO2,2.7687770200499286e-5,112.22290818227495,232.4458163645499,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a0,12.921329303073435,114.77755501907653,237.55511003815306,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a1,5.506856034071511e-7,114.77755501907653,237.55511003815306,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,a2,-0.6435293711075012,114.77755501907653,237.55511003815306,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,sd,49.1951401806584,114.77755501907653,237.55511003815306,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a0,57.422048885972,106.85801008428977,223.71602016857955,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a1,2.1806522405620963e-4,106.85801008428977,223.71602016857955,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,a2,-0.38548895588629317,106.85801008428977,223.71602016857955,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,sd,3.1707262722541585,106.85801008428977,223.71602016857955,Maximum function evaluations reached,FALSE
104001A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,scale_CO2,0.3621464841971872,106.85801008428977,223.71602016857955,Maximum function evaluations reached,FALSE
