gauge,streamflow_model,objective_function,parameter,parameter_values
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-44.81584593227504
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.010036417523387115
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,2.6189187208344745e-7
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-234.9421193963536
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,2.362311594494905e-5
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,48.563749338277
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-234.9421193963536
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,2.362311594494905e-5
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,48.563749338277
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-234.9421193963536
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,2.362311594494905e-5
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,48.563749338277
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-186.7754576741416
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,6.644957302814663e-4
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,41.56730668966116
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-224.76063006329605
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.007633875560008401
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,41.567294184526325
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-224.76063006329605
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.007633875560008401
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,41.567294184526325
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-215.1573755877115
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.0029421535724880083
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,41.567286936661795
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-44.22007751918517
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.011165394938903997
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,20.00552866995898
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-44.220080500678364
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.002482238533236003
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,20.005529170996166
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-44.22008523148432
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.02271473513117103
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,14.336477946995887
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-78.86918076855017
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.022714737599360515
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,21.34588265869626
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-78.86918076855017
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.022714737599360515
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,21.34588265869626
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-78.86918076855017
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.022714737599360515
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,21.34588265869626
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-78.86918076855017
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.022714737599360515
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,21.34588265869626
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-71.4441630823139
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.027859266741569196
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,19.694329965623332
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-71.4441630823139
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.027859266741569196
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,19.694329965623332
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-71.4441630823139
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.027859266741569196
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,19.694329965623332
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-71.4441630823139
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.027859266741569196
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,19.694329965623332
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-106.50880706929246
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.07547416711310638
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,16.16637191877171
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.541384801282476
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619825332453
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,13.339507007369141
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
230210,streamflow_model_precip_only,constant_sd_objective_function,a0,-56.54137921723401
230210,streamflow_model_precip_only,constant_sd_objective_function,a1,0.05218619805944362
230210,streamflow_model_precip_only,constant_sd_objective_function,sd,11.736863734231969
