year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function,optimiser,loglikelihood
1959,1676.14868305,NA,88.69590057028651,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1960,1686.16739044,NA,88.84407433817985,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1961,790.72988564,NA,75.60081412163083,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1962,1302.21884571,NA,83.16558705082818,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1963,1324.60660572,NA,83.49669550885989,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1964,1784.06595873,NA,90.2919656848592,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1965,1684.50656072,NA,88.81951114975024,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1966,1017.57782902,NA,78.9558292149972,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1967,1378.50397175,NA,84.29382187390007,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1968,1199.48046184,160.64856617861432,81.646116239605007,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1969,1220.2694694,161.26036996110815,81.95357961397235,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1970,1350.77528858,180.8583731522971,83.88372271598666,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1971,1411.86069407,404.909788259832,84.78715809366628,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1972,1579.72928332,244.89088369601097,87.26988569632492,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1973,2383.87510348,415.6965837038844,99.1629684534602,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1974,1239.3199543,360.5272185049299,82.23533074392807,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1975,2115.81764567,403.15235025739514,95.19847662936876,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1976,1642.09912111,360.8598598802173,88.19231745408496,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1977,1916.21367383,342.7998557634824,92.2463919499089,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1978,1270.30734581,152.56742008901995,82.69362525024393,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1979,1677.48157142,378.21533480964325,88.71561360154654,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1980,1372.64443471,211.21725835280185,84.20716102559602,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1981,1626.55736547,181.4249051752018,87.96245940920832,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1982,1765.9545941,344.39311391755297,90.02410387051017,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1983,1186.48180255,65.78399529243886,81.45386984996759,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1984,1728.05196314,307.4961006123392,89.46353498434628,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1985,2175.34000185,390.9789801030369,96.0787949624387,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1986,1305.72702058,149.90427674437666,83.21747193664045,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1987,1426.04960744,NA,84.99700799490641,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1988,1195.10355781,47.91936627714747,81.58138310222643,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
1989,1691.73940204,273.76740083488875,88.92648276886638,102101A,streamflow_model_precip_only,constant_sd_objective_function,dream,240.32399540146451
